Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?url=https%3A%2F%2Fg1.globo.com%2F,4,0,520.0,544.0227882500039,505.2763200001209,586.5433010003471,69322.0,0.07080810006886998,0.0,560,560,590,590,590,590,590,590,590,590,590
GET,/?url=https%3A%2F%2Fnews.yahoo.com%2F,1,0,1362.590505999833,1362.590505999833,1362.590505999833,1362.590505999833,46380.0,0.017702025017217494,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/?url=https%3A%2F%2Fwww.bbc.com%2Fportuguese,5,0,120.0,150.0700953998603,107.27739600042696,284.871388999818,20710.0,0.08851012508608748,0.0,120,130,130,280,280,280,280,280,280,280,280
GET,/?url=https%3A%2F%2Fwww.cnnbrasil.com.br%2F,3,0,1092.4258129998634,1053.0614493339574,994.8237370008428,1092.4258129998634,52977.0,0.05310607505165249,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/?url=https%3A%2F%2Fwww.estadao.com.br%2F,2,0,630.0,680.5073870000342,629.8807660004968,731.1340079995716,66808.0,0.03540405003443499,0.0,730,730,730,730,730,730,730,730,730,730,730
GET,/?url=https%3A%2F%2Fwww.folha.uol.com.br%2F,1,0,380.98722500035365,380.98722500035365,380.98722500035365,380.98722500035365,93943.0,0.017702025017217494,0.0,380,380,380,380,380,380,380,380,380,380,380
GET,/?url=https%3A%2F%2Fwww.globo.com%2F,4,0,510.0,537.0256622500165,509.6133930001088,609.3291460001637,47941.0,0.07080810006886998,0.0,520,520,610,610,610,610,610,610,610,610,610
GET,/?url=https%3A%2F%2Fwww.r7.com%2F,3,0,280.0,277.14319933329534,206.3889040000504,340.99146500011557,28651.0,0.05310607505165249,0.0,280,280,340,340,340,340,340,340,340,340,340
GET,/?url=https%3A%2F%2Fwww.terra.com.br%2Fnoticias%2F,3,0,860.0,940.3934106673356,798.141946999749,1159.289779001483,79920.0,0.05310607505165249,0.0,860,860,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/?url=https%3A%2F%2Fwww.uol.com.br%2F,2,0,190.0,188.60418749954988,185.48732699855464,191.72104800054512,83293.0,0.03540405003443499,0.0,190,190,190,190,190,190,190,190,190,190,190
,Aggregated,28,0,510.0,548.8621191786608,107.27739600042696,1362.590505999833,53491.82142857143,0.4956567004820899,0.0,520,610,800,860,1100,1200,1400,1400,1400,1400,1400
