Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?url=https%3A%2F%2Fg1.globo.com%2F,385,0,18,50.25635077663419,15.420150999489124,4435.922855998797,69322.0,6.514537837027629,0.0,18,18,19,19,20,22,140,390,4400,4400,4400
GET,/?url=https%3A%2F%2Fnews.yahoo.com%2F,374,0,17,118.27549250272976,15.264495999872452,5424.675473999741,46314.0,6.328408184541126,0.0,17,18,18,19,21,27,2400,4400,5400,5400,5400
GET,/?url=https%3A%2F%2Fwww.bbc.com%2Fportuguese,388,0,16,29.831696280883445,14.216187999409158,4420.87801299931,20710.0,6.565300469523948,0.0,16,17,17,18,18,19,21,150,4400,4400,4400
GET,/?url=https%3A%2F%2Fwww.cnnbrasil.com.br%2F,370,0,18,54.226253335194066,15.584479000608553,5414.018264998958,52927.0,6.260724674546033,0.0,18,18,18,19,20,21,23,150,5400,5400,5400
GET,/?url=https%3A%2F%2Fwww.estadao.com.br%2F,369,0,18,55.569755384789374,15.777470000102767,4439.5140659999015,66808.0,6.24380379704726,0.0,18,19,19,20,21,23,160,160,4400,4400,4400
GET,/?url=https%3A%2F%2Fwww.folha.uol.com.br%2F,385,0,19,35.17374519736683,16.781812999397516,5426.634142999319,93943.0,6.514537837027629,0.0,19,20,20,20,21,22,26,160,5400,5400,5400
GET,/?url=https%3A%2F%2Fwww.globo.com%2F,414,0,17,102.21693631640534,15.569527000479866,5425.978994999241,47941.0,7.005243284492048,0.0,17,18,19,19,20,22,160,4400,5400,5400,5400
GET,/?url=https%3A%2F%2Fwww.r7.com%2F,396,0,17,57.01434274995409,14.76751699919987,5407.717534999392,28651.0,6.700667489514133,0.0,17,17,18,18,19,23,160,170,5400,5400,5400
GET,/?url=https%3A%2F%2Fwww.terra.com.br%2Fnoticias%2F,382,0,18,43.45066565716451,16.196614000364207,4423.286069000824,79268.0,6.46377520453131,0.0,18,19,19,20,21,22,23,160,4400,4400,4400
GET,/?url=https%3A%2F%2Fwww.uol.com.br%2F,363,0,19,69.70595753165189,16.8000169996958,4429.610584000329,83293.0,6.142278532054622,0.0,19,19,20,20,21,22,150,2400,4400,4400,4400
,Aggregated,3826,0,18,61.700517773916346,14.216187999409158,5426.634142999319,58588.13068478829,64.73927731030574,0.0,18,18,19,19,21,22,150,1400,5400,5400,5400
