Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?url=https%3A%2F%2Fnews.yahoo.com%2F,4,0,1100.0,1103.6453457500102,869.3867900001351,1329.8642620002283,46320.5,0.06802131166980768,0.0,1100,1100,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/?url=https%3A%2F%2Fwww.bbc.com%2Fportuguese,4,0,51,52.62821549990804,42.207772000438126,58.990327999708825,20640.0,0.06802131166980768,0.0,58,58,59,59,59,59,59,59,59,59,59
GET,/?url=https%3A%2F%2Fwww.cnnbrasil.com.br%2F,6,0,300.0,513.0545456668187,294.92199400010577,1006.3600140001654,46916.0,0.10203196750471152,0.0,330,330,850,850,1000,1000,1000,1000,1000,1000,1000
GET,/?url=https%3A%2F%2Fwww.estadao.com.br%2F,3,0,300.0,319.4282359997184,269.7741549991406,392.1006689997739,66903.0,0.05101598375235576,0.0,300,300,390,390,390,390,390,390,390,390,390
GET,/?url=https%3A%2F%2Fwww.folha.uol.com.br%2F,2,0,75.02675799969438,158.63346849982918,75.02675799969438,242.24017899996397,92228.0,0.03401065583490384,0.0,240,240,240,240,240,240,240,240,240,240,240
GET,/?url=https%3A%2F%2Fwww.globo.com%2F,2,0,460.0,488.8927329998296,455.076561000169,522.7089049994902,47931.5,0.03401065583490384,0.0,520,520,520,520,520,520,520,520,520,520,520
GET,/?url=https%3A%2F%2Fwww.r7.com%2F,2,0,260.5830860002243,714.7207890002392,260.5830860002243,1168.858492000254,28891.0,0.03401065583490384,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/?url=https%3A%2F%2Fwww.terra.com.br%2Fnoticias%2F,5,0,890.0,935.2136529996642,754.1838569995889,1137.0091859998865,79517.0,0.0850266395872596,0.0,890,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/?url=https%3A%2F%2Fwww.uol.com.br%2F,2,0,144.2938049995064,170.8757199999127,144.2938049995064,197.457635000319,80200.0,0.03401065583490384,0.0,200,200,200,200,200,200,200,200,200,200,200
,Aggregated,30,0,330.0,546.8006637665894,42.207772000438126,1329.8642620002283,54871.1,0.5101598375235576,0.0,390,800,890,1100,1100,1200,1300,1300,1300,1300,1300
