Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?url=https%3A%2F%2Fg1.globo.com%2F,33,0,5300.0,5095.376487333409,507.411223001327,10590.85299599974,69322.0,0.5595582606875382,0.0,5300,5900,6000,6500,6800,7800,11000,11000,11000,11000,11000
GET,/?url=https%3A%2F%2Fnews.yahoo.com%2F,33,0,12000.0,11248.717848303248,1068.755129001147,17948.81487999919,46378.181818181816,0.5595582606875382,0.0,12000,12000,13000,14000,14000,15000,18000,18000,18000,18000,18000
GET,/?url=https%3A%2F%2Fwww.bbc.com%2Fportuguese,44,0,3400.0,3581.0186494998725,263.8954459998786,9601.832715001365,20680.75,0.7460776809167177,0.0,3500,4000,4200,4200,5900,8200,9600,9600,9600,9600,9600
GET,/?url=https%3A%2F%2Fwww.cnnbrasil.com.br%2F,36,0,5500.0,5613.342845472187,3302.800997000304,9847.566742999334,52977.0,0.6104271934773144,0.0,5800,5900,6200,6300,6800,7300,9800,9800,9800,9800,9800
GET,/?url=https%3A%2F%2Fwww.estadao.com.br%2F,44,0,4900.0,5485.523392795667,1801.0784600010084,9826.226033999774,66794.02272727272,0.7460776809167177,0.0,5000,6000,6700,6900,8700,9400,9800,9800,9800,9800,9800
GET,/?url=https%3A%2F%2Fwww.folha.uol.com.br%2F,38,0,4900.0,5180.160133079162,359.24742899987905,9579.739150000023,93943.0,0.6443398153371653,0.0,5100,5800,6200,6500,8300,9400,9600,9600,9600,9600,9600
GET,/?url=https%3A%2F%2Fwww.globo.com%2F,37,0,8000.0,7983.921491486495,791.9299740005954,11812.807040001644,47941.0,0.6273835044072399,0.0,8000,8600,9200,9600,10000,10000,12000,12000,12000,12000,12000
GET,/?url=https%3A%2F%2Fwww.r7.com%2F,56,0,3900.0,4473.564934446521,402.9093520002789,9657.928304999587,28651.0,0.9495534120758226,0.0,3900,4700,5400,6000,8500,9100,9600,9700,9700,9700,9700
GET,/?url=https%3A%2F%2Fwww.terra.com.br%2Fnoticias%2F,34,0,4300.0,4521.239051470302,1318.9269790000253,10027.538790000108,79920.0,0.5765145716174637,0.0,4300,4900,5100,5400,5700,8100,10000,10000,10000,10000,10000
GET,/?url=https%3A%2F%2Fwww.uol.com.br%2F,36,0,4500.0,4234.066445055861,701.1232010008825,9718.184860999827,83361.13888888889,0.6104271934773144,0.0,4600,4800,4900,5000,5600,5800,9700,9700,9700,9700,9700
,Aggregated,391,0,4900.0,5599.188341987284,263.8954459998786,17948.81487999919,56881.217391304344,6.6299175736008324,0.0,4900,5900,6800,7600,9700,12000,14000,14000,18000,18000,18000
