Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?url=https%3A%2F%2Fg1.globo.com%2F,68,0,1100.0,1819.6279317352466,372.84344299951044,7088.441941999918,68079.0,1.1499676128350746,0.0,1100,1500,2300,2800,4500,6000,6100,7100,7100,7100,7100
GET,/?url=https%3A%2F%2Fnews.yahoo.com%2F,70,0,2100.0,3495.132301985684,990.4048389998934,12786.231037000107,46039.014285714286,1.183790189683165,0.0,2100,3000,3500,5200,8100,12000,13000,13000,13000,13000,13000
GET,/?url=https%3A%2F%2Fwww.bbc.com%2Fportuguese,89,0,560.0,1077.2295139213793,45.16441899977508,6286.710088000291,20640.0,1.505104669740024,0.0,560,690,1300,1400,3000,3900,6200,6300,6300,6300,6300
GET,/?url=https%3A%2F%2Fwww.cnnbrasil.com.br%2F,64,0,1300.0,2173.1133507030054,400.8651109998027,6753.184408999914,46887.875,1.0823224591388938,0.0,1400,1900,3500,3800,5000,6000,6700,6800,6800,6800,6800
GET,/?url=https%3A%2F%2Fwww.estadao.com.br%2F,92,0,810.0,1555.7310105978293,243.24129900014668,6429.807733000416,66871.0,1.5558385350121597,0.0,820,1300,2400,2500,4000,5400,5500,6400,6400,6400,6400
GET,/?url=https%3A%2F%2Fwww.folha.uol.com.br%2F,96,0,920.0,1655.1985788229329,74.9059079998915,5845.2153420003015,92228.0,1.6234836887083408,0.0,930,1800,2500,2800,4500,5100,5300,5800,5800,5800,5800
GET,/?url=https%3A%2F%2Fwww.globo.com%2F,90,0,1800.0,3184.276241944412,524.959618000139,11728.363256999728,47932.0,1.5220159581640693,0.0,1900,2400,4400,5800,8800,9700,11000,12000,12000,12000,12000
GET,/?url=https%3A%2F%2Fwww.r7.com%2F,85,0,810.0,1236.5144151647387,167.69525300060195,5277.308120999805,28891.0,1.4374595160438433,0.0,810,1100,1600,2000,2800,3400,4800,5300,5300,5300,5300
GET,/?url=https%3A%2F%2Fwww.terra.com.br%2Fnoticias%2F,80,0,1200.0,1528.4943655875386,756.9459749993257,6906.7284349994225,79530.5,1.3529030739236172,0.0,1200,1400,1900,2000,2200,3400,5700,6900,6900,6900,6900
GET,/?url=https%3A%2F%2Fwww.uol.com.br%2F,99,0,970.0,1828.6389267272755,120.83899699973699,6624.73458400018,80200.0,1.6742175539804764,0.0,970,2100,3300,3500,4500,5300,6500,6600,6600,6600,6600
,Aggregated,833,0,1200.0,1921.2201059783836,45.16441899977508,12786.231037000107,58544.732292917164,14.087103257229664,0.0,1200,1800,2300,2900,4600,6000,7800,10000,13000,13000,13000
