Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?url=https%3A%2F%2Fg1.globo.com%2F,4,0,8,93.82381675050055,6.250236001505982,348.9816900000733,68079.0,0.06810883878839731,0.0,12,12,350,350,350,350,350,350,350,350,350
GET,/?url=https%3A%2F%2Fnews.yahoo.com%2F,3,0,8,340.48053566705977,6.5710870003385935,1007.259840000188,46237.0,0.051081629091297986,0.0,8,8,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/?url=https%3A%2F%2Fwww.bbc.com%2Fportuguese,1,0,62.134793000950594,62.134793000950594,62.134793000950594,62.134793000950594,20653.0,0.017027209697099328,0.0,62,62,62,62,62,62,62,62,62,62,62
GET,/?url=https%3A%2F%2Fwww.cnnbrasil.com.br%2F,4,0,11,231.09889749957802,6.767820999812102,894.2134259996237,46913.0,0.06810883878839731,0.0,12,12,890,890,890,890,890,890,890,890,890
GET,/?url=https%3A%2F%2Fwww.estadao.com.br%2F,1,0,308.588668000084,308.588668000084,308.588668000084,308.588668000084,66859.0,0.017027209697099328,0.0,310,310,310,310,310,310,310,310,310,310,310
GET,/?url=https%3A%2F%2Fwww.folha.uol.com.br%2F,9,0,13,40.363400000286575,7.3728629995457595,272.686058000545,92316.0,0.15324488727389396,0.0,13,13,14,14,270,270,270,270,270,270,270
GET,/?url=https%3A%2F%2Fwww.globo.com%2F,5,0,10,90.31802640020032,6.742572000803193,415.8279229995969,47945.0,0.08513604848549665,0.0,10,11,11,420,420,420,420,420,420,420,420
GET,/?url=https%3A%2F%2Fwww.r7.com%2F,2,0,10,148.73528849966533,9.921187000145437,287.5493899991852,28891.0,0.034054419394198655,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/?url=https%3A%2F%2Fwww.terra.com.br%2Fnoticias%2F,6,0,11,210.39083316706333,7.525263001298299,1207.6372370011086,79537.0,0.10216325818259597,0.0,12,12,14,14,1200,1200,1200,1200,1200,1200,1200
GET,/?url=https%3A%2F%2Fwww.uol.com.br%2F,2,0,9,76.56163450064923,8.533197000360815,144.59007200093765,80174.0,0.034054419394198655,0.0,140,140,140,140,140,140,140,140,140,140,140
,Aggregated,37,0,12,141.07177032457076,6.250236001505982,1207.6372370011086,66273.2972972973,0.6300067587926752,0.0,12,14,62,270,420,1000,1200,1200,1200,1200,1200
