Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?url=https%3A%2F%2Fg1.globo.com%2F,188,0,18,148.5818635106683,15.783027998622856,5597.655904000931,69322.0,3.1842140925504836,0.0,18,19,19,20,21,22,4600,4600,5600,5600,5600
GET,/?url=https%3A%2F%2Fnews.yahoo.com%2F,181,0,18,40.902560939227655,15.764390000185813,3581.261228000585,46314.0,3.065652929529987,0.0,18,18,19,19,20,20,48,570,3600,3600,3600
GET,/?url=https%3A%2F%2Fwww.bbc.com%2Fportuguese,187,0,17,185.6381721123583,14.332979999380768,5607.78014799871,20710.0,3.1672767835475555,0.0,17,17,18,18,19,20,5600,5600,5600,5600,5600
GET,/?url=https%3A%2F%2Fwww.cnnbrasil.com.br%2F,198,0,18,87.74793575251563,15.632650998668396,4601.089146999584,52927.0,3.3535871825797647,0.0,18,18,19,19,20,22,1100,4600,4600,4600,4600
GET,/?url=https%3A%2F%2Fwww.estadao.com.br%2F,173,0,18,218.71278157225845,16.497227999934694,5609.927240000616,66808.0,2.9301544575065623,0.0,18,19,19,20,22,57,5600,5600,5600,5600,5600
GET,/?url=https%3A%2F%2Fwww.folha.uol.com.br%2F,225,0,19,157.26222376445853,16.750682998463162,5611.710532999496,93943.0,3.8108945256588234,0.0,19,20,20,21,22,23,4600,5600,5600,5600,5600
GET,/?url=https%3A%2F%2Fwww.globo.com%2F,168,0,18,127.16341777377238,16.069838999101194,5601.313592998849,47941.0,2.8454679124919218,0.0,18,18,19,20,21,22,3600,4600,5600,5600,5600
GET,/?url=https%3A%2F%2Fwww.r7.com%2F,176,0,17,98.23203146590293,15.093699001226923,4599.631811001018,28651.0,2.9809663845153462,0.0,17,17,18,18,19,20,1600,4600,4600,4600,4600
GET,/?url=https%3A%2F%2Fwww.terra.com.br%2Fnoticias%2F,165,0,19,96.27062750305137,16.54019599845924,4604.081528999814,79268.0,2.7946559854831374,0.0,19,19,20,20,21,23,53,4600,4600,4600,4600
GET,/?url=https%3A%2F%2Fwww.uol.com.br%2F,186,0,19,43.61700877951236,16.773270999692613,4597.446196999954,83293.0,3.1503394745446274,0.0,19,19,20,20,21,22,23,24,4600,4600,4600
,Aggregated,1847,0,18,120.89669939794504,14.332979999380768,5611.710532999496,59626.9772604223,31.28320972840821,0.0,18,19,19,20,21,22,3600,4600,5600,5600,5600
